distance_km,weight_kg,priority_encoded,hour_of_day,day_of_week,traffic_factor,weather_score,driver_experience_days,is_rush_hour,zone_density,is_delayed,delay_minutes
23.56,14.9,1,19,0,1.53,0.59,21,1,0.79,1,61.4
9.96,12.6,1,7,3,0.64,0.72,91,0,0.7,1,15.1
7.56,10.4,2,18,1,1.32,0.32,366,1,0.41,0,0
12.66,6.4,2,20,6,1.4,0.75,92,1,0.63,1,12.6
22.65,1.6,0,18,4,1.52,0.63,88,1,0.52,1,44.8
9.71,0.7,0,17,5,1.49,0.97,186,1,0.21,1,10.5
2.37,4.3,1,16,6,1.08,0.93,364,0,0.17,0,0
22.65,7.1,1,20,1,1.46,0.77,82,1,0.74,1,32.9
8.87,11.5,1,9,0,1.51,0.31,175,1,0.34,0,0
6.45,3.4,0,21,6,0.87,0.1,180,0,0.32,0,0
4.73,11.3,1,18,1,1.47,0.24,375,1,0.37,0,0
13.52,7.3,1,17,6,1.92,0.67,362,1,0.19,1,36.3
8.43,11.4,1,4,6,0.63,0.03,729,0,0.34,0,0
14.33,9.5,1,17,2,1.48,0.95,183,1,0.25,0,0
5.56,12.7,0,21,3,0.76,0.78,95,0,0.9,0,0
3.93,12.4,0,7,0,1.05,0.32,181,0,0.55,0,0
38.67,8.3,0,12,1,0.88,0.69,176,0,0.57,1,54.8
23.72,4.3,0,9,1,1.74,0.66,366,1,0.29,1,28.3
15.98,9.0,1,14,5,0.94,0.81,738,0,0.84,1,24.9
13.22,8.9,0,19,0,1.28,0.7,189,1,0.81,1,32.5
16.08,1.8,0,13,1,0.72,0.59,174,0,0.34,0,0
9.82,14.6,0,18,1,1.36,0.68,22,1,0.45,1,33.9
9.82,13.3,2,19,3,1.78,0.56,27,1,0.57,1,27.3
9.16,10.9,2,18,6,1.84,0.78,721,1,0.65,1,26.9
23.72,12.3,1,9,1,1.43,0.69,363,1,0.2,1,18.3
14.39,14.5,2,15,6,0.76,0.63,364,0,0.95,1,10.4
13.75,9.6,1,5,4,0.81,0.16,180,0,0.99,0,0
18.11,9.4,2,18,3,0.97,0.22,97,1,0.56,1,13.8
26.16,6.0,1,15,5,0.44,0.7,184,0,0.77,0,0
10.31,5.9,2,20,2,1.85,0.69,371,1,0.91,0,0
7.51,9.2,1,17,5,1.6,0.57,34,1,0.77,1,51.2
7.56,3.1,2,22,1,0.91,0.8,727,0,0.48,0,0
38.67,7.7,0,12,6,0.91,0.83,99,0,0.22,1,70.2
35.18,2.6,2,7,5,0.48,0.68,84,0,0.38,1,49.3
20.95,1.0,1,15,6,0.85,0.73,367,0,0.14,0,0
26.1,12.2,2,18,1,1.4,0.89,190,1,0.88,1,59.2
19.2,13.0,2,16,0,0.66,0.02,362,0,0.54,0,0
5.06,13.5,2,8,3,1.16,0.84,359,1,0.64,0,0
12.83,9.5,1,15,1,0.88,0.53,725,0,0.12,0,0
9.96,1.9,1,7,4,0.85,0.1,366,0,0.22,0,0
9.96,8.2,1,10,1,1.68,0.79,730,1,0.43,0,0
3.84,3.5,0,19,1,1.41,0.3,83,1,0.74,0,0
18.52,14.1,0,8,0,1.18,0.24,86,1,0.74,1,27.9
18.84,3.5,0,12,2,0.63,0.77,357,0,0.58,0,0
20.19,1.4,0,18,0,1.97,0.37,359,1,0.43,1,26.0
28.27,12.2,0,17,3,1.22,0.22,182,1,0.18,1,40.3
3.46,0.6,1,15,3,0.64,0.12,34,0,0.65,0,0
7.34,15.0,1,9,2,1.47,0.94,362,1,0.48,0,0
18.84,1.8,1,10,5,1.86,0.02,179,1,0.87,1,0
9.96,5.7,0,17,6,1.57,0.07,173,1,0.85,1,31.4
23.33,4.1,2,17,5,1.53,0.94,95,1,0.27,1,52.5
17.54,3.2,2,13,4,0.65,0.22,93,0,0.46,1,29.9
22.5,5.7,0,23,2,0.75,0.95,189,0,0.48,1,24.2
8.87,2.8,1,16,5,0.84,0.72,723,0,0.61,0,0
20.5,14.4,1,14,4,0.71,0.79,365,0,0.96,1,23.8
23.33,10.0,0,12,3,0.71,1.0,95,0,0.68,1,41.1
22.5,9.3,1,15,3,0.7,0.84,38,0,0.92,1,42.8
22.5,6.6,0,5,1,0.6,0.76,733,0,0.21,1,17.3
21.08,11.3,1,8,1,1.53,0.07,90,1,0.29,1,32.6
10.31,7.8,0,7,3,0.84,0.67,371,0,0.64,0,0
12.11,3.2,1,8,2,2.02,0.7,362,1,0.8,1,0
15.28,4.1,0,8,4,1.14,0.87,356,1,0.81,1,12.3
14.39,10.9,0,8,1,1.07,0.01,20,1,0.78,1,36.9
13.65,14.3,0,1,1,0.51,0.14,174,0,0.76,0,0
13.35,7.2,1,4,3,0.61,0.56,83,0,0.76,1,17.0
28.39,3.3,1,17,0,2.16,0.21,97,1,0.43,1,47.9
14.39,14.4,1,12,5,0.75,0.64,355,0,0.93,0,0
4.73,4.0,0,7,6,0.56,0.09,98,0,0.88,0,0
23.33,1.3,2,14,1,0.89,0.13,86,0,0.92,1,42.7
4.73,0.6,0,14,0,0.77,0.66,170,0,0.42,0,0
12.83,13.5,1,16,1,0.66,0.23,86,0,0.68,1,25.3
8.43,10.3,2,17,4,1.44,0.22,94,1,0.75,1,12.4
7.3,14.1,2,16,5,0.54,0.33,31,0,0.81,0,0
11.82,1.1,0,7,5,0.85,0.36,89,0,0.97,0,0
15.28,3.9,1,17,4,2.02,0.98,367,1,0.69,1,49.5
17.07,8.0,2,5,3,0.92,0.75,183,0,0.92,0,0
9.22,11.8,0,15,3,1.02,0.3,367,0,0.56,0,0
28.27,8.9,1,12,3,0.73,0.88,98,0,0.52,1,48.1
25.34,4.1,1,14,5,0.72,0.34,96,0,0.51,1,28.7
14.05,14.1,1,10,4,1.55,0.61,28,1,0.24,1,33.5
16.08,11.6,0,15,2,0.68,0.45,357,0,0.28,0,0
16.05,10.4,1,18,0,1.7,0.94,357,1,0.97,1,44.0
23.72,4.1,0,19,5,1.49,0.68,358,1,0.51,1,47.9
21.25,11.6,1,21,3,0.52,0.33,371,0,0.47,0,0
28.53,11.0,2,10,3,1.35,0.4,370,1,0.12,1,27.1
3.46,0.5,1,5,3,1.03,0.44,189,0,0.31,0,0
9.16,5.5,2,14,0,0.79,0.88,88,0,0.33,0,0
23.56,13.3,0,19,5,1.63,0.94,188,1,0.15,1,50.9
20.5,6.6,2,10,1,1.82,0.16,87,1,0.81,1,50.4
9.16,2.4,0,10,6,1.63,0.57,186,1,0.33,0,0
16.52,4.9,1,22,3,0.79,0.37,358,0,0.92,0,0
6.97,9.5,0,13,0,0.89,0.05,728,0,0.53,0,0
14.39,3.2,1,15,2,0.82,0.75,739,0,0.53,0,0
21.31,14.0,1,18,5,1.7,0.81,175,1,0.29,1,39.1
2.37,9.1,1,21,0,0.77,0.13,22,0,0.37,0,0
14.18,12.5,0,7,3,0.88,0.21,180,0,0.41,0,0
13.65,1.4,0,19,6,1.9,0.49,175,1,0.59,1,24.0
9.17,10.7,0,10,1,1.35,0.0,358,1,0.23,0,0
19.68,5.1,0,10,4,0.71,0.68,36,1,0.41,1,35.1
12.67,6.8,1,5,3,0.93,0.74,368,0,0.44,0,0
15.04,2.0,0,13,2,0.68,0.38,358,0,0.96,0,0
16.08,3.1,0,16,5,0.95,0.63,80,0,0.17,1,28.9
14.18,3.6,2,10,0,1.88,0.55,37,1,0.49,1,29.7
22.5,11.3,0,9,1,1.87,0.02,89,1,0.38,1,36.7
15.28,8.9,0,18,0,1.46,0.87,182,1,0.39,1,18.1
28.27,9.0,2,10,5,1.37,0.15,720,1,0.76,1,46.4
26.1,4.4,2,16,6,0.67,0.68,364,0,0.89,0,0
9.71,13.7,1,17,3,1.47,0.91,375,1,0.73,0,0
9.17,12.2,2,2,6,0.93,0.25,358,0,0.87,0,0
26.16,10.8,2,20,2,0.74,0.04,99,1,0.97,1,47.8
35.18,15.0,1,20,2,1.36,0.15,84,1,0.28,1,60.8
13.65,3.7,2,11,1,0.8,0.85,40,0,0.3,1,22.7
15.01,6.5,0,15,6,0.66,0.42,185,0,0.22,0,0
13.35,4.0,0,18,4,1.27,0.9,182,1,0.39,1,34.0
16.41,5.2,1,10,0,1.67,0.45,187,1,0.17,1,27.2
12.87,2.3,2,20,1,1.53,0.12,374,1,0.26,1,47.0
8.87,8.9,0,6,3,0.68,0.9,176,0,0.8,0,0
23.72,4.5,1,8,5,1.81,0.96,372,1,0.65,1,40.3
25.34,6.4,1,8,3,1.73,0.65,22,1,0.17,1,42.1
26.1,5.4,2,11,5,0.78,0.93,176,0,0.97,1,24.9
25.63,4.8,0,16,6,0.96,0.29,99,0,0.45,1,28.6
13.22,13.2,0,7,5,0.71,0.47,177,0,0.17,0,0
38.67,7.2,1,0,1,1.12,0.84,85,0,0.28,1,53.1
7.8,13.4,1,11,4,0.82,0.2,96,0,0.37,0,0
21.92,12.6,2,19,6,1.57,0.12,28,1,0.94,1,59.8
9.17,6.9,2,18,5,1.02,0.15,91,1,0.23,1,30.5
16.28,1.6,1,18,2,0.88,0.37,91,1,0.3,1,29.6
20.95,12.9,1,12,3,0.73,0.67,38,0,0.31,1,55.3
14.05,2.0,0,17,1,1.31,0.58,183,1,0.43,1,26.4
3.84,9.1,0,9,5,1.0,0.29,357,1,0.51,0,0
16.41,11.3,0,17,4,1.19,0.99,181,1,0.88,1,12.4
21.92,11.5,1,18,0,1.43,0.01,187,1,0.57,1,34.7
23.79,5.7,1,14,3,0.92,0.37,364,0,0.31,0,0
28.53,9.2,1,19,1,1.84,0.57,372,1,0.8,1,49.3
8.48,6.3,1,0,1,0.51,0.85,92,0,0.18,0,0
4.73,4.3,1,19,5,1.5,0.25,31,1,0.52,1,22.8
16.41,9.9,0,19,1,1.6,0.99,729,1,0.34,1,26.6
9.71,8.7,1,9,0,1.53,0.18,26,1,0.18,1,31.3
28.39,10.8,1,8,5,1.36,0.2,34,1,0.55,1,57.9
38.67,7.4,1,9,3,1.08,0.59,371,1,0.35,1,47.6
6.13,5.4,1,12,3,0.86,0.69,27,0,0.71,0,0
13.22,5.2,1,5,5,0.85,0.33,356,0,0.57,0,0
23.79,4.5,1,5,2,0.59,0.02,725,0,0.94,1,35.7
23.72,5.9,1,17,4,1.35,0.39,86,1,0.22,1,57.0
31.39,4.6,1,17,4,1.21,0.9,100,1,0.31,1,78.0
6.73,14.5,1,9,3,1.49,0.52,189,1,0.81,0,0
16.28,3.1,1,6,5,0.68,0.3,85,0,0.5,1,31.3
2.96,9.2,1,19,0,1.66,0.54,97,1,0.66,1,17.5
15.01,13.4,1,20,6,1.74,0.59,730,1,0.66,0,0
25.63,8.0,1,7,1,0.89,0.99,172,0,0.47,1,25.4
28.27,11.1,1,7,0,0.69,0.72,34,0,0.24,1,29.5
5.03,14.5,0,14,4,0.9,0.13,359,0,0.89,0,0
9.22,12.2,1,20,4,1.4,0.44,177,1,0.75,1,57.4
23.79,4.7,1,18,6,0.96,0.63,726,1,0.35,1,32.5
26.62,1.1,2,14,1,0.58,0.27,367,0,0.26,1,14.3
26.62,12.0,1,20,6,2.09,0.45,356,1,0.35,1,34.4
13.22,4.3,1,12,1,1.0,0.37,31,0,0.18,0,0
3.46,13.6,2,2,4,0.79,0.72,177,0,0.31,1,3.0
13.52,10.1,1,22,0,0.9,0.41,374,0,0.95,0,0
4.73,1.9,1,13,6,0.47,0.09,33,0,0.15,0,0
10.55,5.4,1,2,5,0.78,0.19,174,0,0.44,0,0
38.67,3.5,0,14,5,0.88,0.35,91,0,0.23,1,26.7
9.82,7.9,1,21,2,0.69,0.0,183,0,0.68,0,0
9.82,9.2,1,14,4,0.56,0.44,362,0,0.5,0,0
8.48,10.8,1,6,5,0.75,0.98,723,0,0.66,0,0
12.66,14.4,0,23,6,0.71,0.79,371,0,1.0,0,0
9.82,3.1,2,15,2,0.75,0.62,176,0,0.55,0,0
28.39,10.9,0,9,3,1.42,0.27,91,1,0.94,1,57.7
22.65,10.0,1,12,0,1.11,0.73,25,0,0.57,1,53.2
20.19,2.8,2,19,2,1.46,0.18,91,1,0.72,1,22.6
12.87,2.4,0,8,1,2.06,0.23,359,1,0.85,1,10.7
25.34,14.4,2,9,0,1.57,0.12,90,1,0.25,1,64.4
15.01,14.7,1,21,4,0.7,0.04,80,0,0.14,0,0
5.03,5.1,1,17,0,1.54,0.52,362,1,0.13,0,0
9.82,3.4,1,8,0,1.95,0.72,175,1,0.61,0,0
14.33,2.2,1,19,1,1.8,0.31,375,1,0.82,1,19.4
14.33,12.1,1,20,0,1.56,0.87,172,1,0.13,1,2.4
18.11,1.7,1,20,4,1.83,0.75,97,1,0.92,1,30.3
21.92,11.8,2,7,3,0.96,0.58,97,0,0.29,1,24.9
2.37,2.3,0,14,5,0.54,0.93,367,0,0.33,0,0
3.56,10.7,0,13,1,1.06,0.53,737,0,0.71,0,0
19.2,5.1,1,17,1,1.53,0.88,190,1,0.46,1,29.3
17.54,9.5,0,9,5,1.51,0.57,367,1,0.6,1,22.7
28.53,1.3,2,19,4,1.12,0.75,371,1,0.12,1,41.5
28.39,5.4,0,8,4,1.45,0.11,726,1,0.31,1,42.9
13.52,1.3,2,11,6,1.02,0.88,189,0,0.39,1,26.8
22.65,0.9,1,11,1,0.3,0.67,372,0,0.73,0,0
9.22,10.0,2,20,2,1.3,0.91,88,1,0.71,1,28.6
12.87,5.2,1,12,2,0.9,0.28,369,0,0.63,0,0
4.73,0.6,1,19,2,1.3,0.12,720,1,0.86,0,0
23.49,14.2,0,10,1,1.59,0.94,88,1,0.43,1,69.3
23.33,11.0,2,15,1,0.76,0.0,34,0,0.47,1,22.0
31.39,1.8,0,17,5,0.87,0.19,100,1,0.18,1,63.3
15.04,9.8,1,15,5,0.84,0.53,24,0,0.88,1,34.1
15.98,8.3,1,17,0,1.24,0.81,31,1,0.93,1,23.0
29.14,8.7,2,12,3,0.85,0.32,98,0,0.84,1,36.5
7.3,6.9,1,3,2,0.85,0.47,372,0,0.82,0,0
6.13,1.0,1,15,0,0.98,0.89,374,0,0.99,0,0
10.55,2.0,1,9,0,0.99,0.73,90,1,0.42,1,31.2
5.56,13.2,1,17,0,1.48,0.5,361,1,0.79,0,0
8.8,10.3,1,15,2,1.18,0.95,189,0,0.48,0,0
13.35,2.5,0,20,4,1.8,0.59,366,1,0.18,1,18.0
6.97,2.3,0,20,6,1.75,0.27,36,1,0.5,1,21.5
20.5,1.7,1,10,5,1.63,0.79,22,1,0.92,1,38.2
11.82,3.8,1,22,6,0.88,0.61,735,0,0.9,0,0
20.95,14.3,1,18,3,1.46,0.45,372,1,0.98,1,39.9
36.1,9.3,2,15,2,0.85,0.22,729,0,0.8,1,28.3
8.48,1.9,1,18,2,1.29,0.28,27,1,0.53,1,33.6
13.22,6.6,1,3,2,0.86,0.24,187,0,0.39,0,0
7.8,3.7,0,10,3,1.55,0.76,85,1,0.54,0,0
3.84,4.3,1,0,0,0.87,0.37,374,0,0.47,0,0
12.87,6.4,1,9,0,1.31,0.83,184,1,0.73,1,31.3
29.14,14.7,0,16,5,0.65,0.55,87,0,0.56,1,27.4
7.34,2.8,0,11,5,0.52,0.07,188,0,0.16,0,0
26.1,3.5,1,11,0,0.82,0.85,172,0,0.24,1,0
12.87,10.4,1,8,3,1.37,0.14,189,1,0.25,1,44.1
14.39,7.5,2,18,6,1.39,0.44,88,1,0.23,1,26.8
19.05,5.3,0,9,4,1.43,0.52,95,1,0.94,1,30.1
20.95,3.2,2,16,3,0.76,0.52,176,0,0.69,1,39.7
17.49,13.6,1,12,3,0.8,0.52,729,0,0.21,1,15.7
18.84,11.7,0,14,4,0.76,0.05,96,0,0.55,1,20.4
5.77,5.0,1,14,2,0.64,0.07,188,0,0.76,0,0
10.31,3.5,0,5,0,0.81,0.36,363,0,0.12,0,0
20.5,0.6,0,16,3,0.76,0.1,722,0,0.42,0,0
6.45,6.5,1,9,6,1.61,0.08,358,1,0.67,0,0
7.34,5.9,0,7,2,0.76,0.65,90,0,0.27,1,18.6
12.11,2.9,1,0,6,0.81,0.74,366,0,0.44,0,0
28.53,9.6,1,7,6,0.92,0.91,98,0,0.68,1,42.5
5.39,0.8,1,11,0,0.64,0.48,83,0,0.78,1,27.2
7.8,10.2,2,8,6,1.96,0.34,372,1,0.69,1,22.3
21.25,1.6,1,10,1,1.34,0.86,172,1,0.79,1,25.6
11.82,8.6,1,10,4,0.97,0.8,90,1,0.63,1,1.3
13.35,9.5,0,8,4,1.13,0.17,365,1,0.7,1,17.0
23.33,8.3,0,6,1,0.71,0.76,363,0,0.98,0,0
9.71,0.9,2,22,6,1.05,0.32,87,0,0.93,0,0
22.5,0.6,1,22,2,0.68,0.63,171,0,0.38,1,40.2
14.39,2.0,1,14,1,0.68,0.04,365,0,0.42,0,0
14.18,10.7,2,10,3,1.53,0.75,366,1,0.68,0,0
22.5,3.6,0,16,5,0.61,0.11,358,0,0.38,1,19.9
28.53,6.1,2,21,6,1.0,0.83,182,0,0.41,1,36.1
25.63,5.7,0,1,5,0.78,0.57,90,0,0.45,1,43.4
12.66,7.0,2,19,6,1.46,0.73,740,1,0.5,0,0
10.9,4.6,0,8,5,1.13,0.08,179,1,0.3,1,16.1
5.77,9.6,2,8,6,1.79,0.22,178,1,0.26,0,0
20.5,11.8,1,21,5,0.86,0.33,729,0,0.47,0,0
12.67,9.2,1,11,3,0.62,0.67,35,0,0.81,0,0
9.22,2.5,1,21,2,0.74,0.75,81,0,0.95,1,13.7
12.66,12.6,0,8,3,1.91,0.68,364,1,0.61,1,35.7
14.05,8.1,1,20,4,1.64,0.08,368,1,0.6,0,0
23.72,11.1,2,9,6,1.51,0.18,723,1,0.5,1,36.2
17.49,1.4,2,13,2,0.65,0.71,374,0,0.71,0,0
20.19,4.6,1,17,4,1.36,0.69,95,1,0.14,1,48.8
16.05,1.5,1,16,4,0.78,0.54,733,0,0.12,0,0
14.05,2.6,0,14,5,1.03,0.94,28,0,0.45,1,30.3
16.08,6.2,1,12,3,0.84,0.96,356,0,0.83,1,14.2
18.52,4.3,0,13,1,0.77,0.67,369,0,0.66,0,0
23.49,10.1,1,14,3,0.64,0.17,90,0,0.61,1,27.3
9.22,4.0,1,17,1,1.01,0.9,372,1,0.5,0,0
38.67,7.3,1,22,4,0.79,0.17,172,0,0.96,1,58.8
9.17,11.2,1,11,4,0.8,0.31,362,0,0.97,0,0
14.05,4.7,0,14,3,0.72,0.24,373,0,0.36,0,0
18.84,8.5,1,17,4,1.54,0.66,95,1,0.76,1,61.9
10.9,9.3,1,8,6,1.68,1.0,33,1,0.33,1,35.9
10.31,2.5,1,18,5,1.83,0.71,94,1,0.74,1,24.6
5.03,8.0,1,13,1,0.43,0.1,88,0,0.8,0,0
17.07,12.3,2,21,4,0.95,0.1,180,0,0.34,0,0
13.35,8.1,1,12,1,1.05,0.69,724,0,0.35,0,0
17.07,4.4,1,16,4,0.67,0.07,85,0,0.78,1,29.5
18.52,9.9,0,12,4,0.66,0.28,721,0,0.24,0,0
16.28,5.0,0,17,3,1.47,0.4,720,1,0.77,1,23.1
11.82,7.6,2,8,3,1.57,0.18,740,1,0.56,1,39.5
13.52,1.3,0,19,1,1.34,0.27,175,1,0.81,1,19.6
18.52,3.7,2,11,5,0.32,0.4,181,0,0.62,1,24.2
20.14,1.2,1,14,4,1.08,0.91,180,0,0.14,1,27.1
18.84,1.7,1,7,5,0.75,0.39,96,0,0.44,1,14.0
35.18,6.5,2,17,5,1.77,0.62,188,1,0.29,1,35.9
9.17,4.6,0,8,2,1.45,0.01,171,1,0.51,0,0
21.08,1.4,2,18,3,1.02,0.97,375,1,0.67,1,32.5
9.61,14.8,0,21,0,0.75,0.03,359,0,0.37,0,0
7.8,15.0,1,13,4,0.85,0.25,170,0,0.74,0,0
12.56,11.7,0,5,0,1.05,0.93,355,0,0.26,0,0
2.37,8.9,1,14,6,0.87,0.51,27,0,0.37,0,0
5.06,10.4,1,16,5,0.54,0.48,174,0,0.3,0,0
26.62,2.7,0,18,6,1.64,0.81,726,1,0.86,1,42.9
9.16,5.1,1,14,2,0.52,0.41,737,0,0.27,0,0
21.31,7.1,1,14,0,1.01,0.38,357,0,0.43,1,13.4
9.71,3.9,1,14,4,1.22,0.93,367,0,0.73,0,0
15.01,6.5,0,21,0,0.91,0.46,372,0,0.39,0,0
9.71,5.9,1,16,1,0.51,0.62,728,0,0.2,0,0
25.34,0.9,0,19,5,1.53,0.24,40,1,0.41,1,66.8
15.98,2.4,1,20,6,2.15,0.29,98,1,0.99,1,30.4
16.05,1.9,1,19,1,0.81,0.42,99,1,0.3,0,0
3.56,0.7,0,2,3,0.82,0.64,735,0,0.19,0,0
10.55,10.1,1,8,0,1.52,0.8,36,1,0.16,1,69.6
12.56,8.1,0,6,2,0.93,0.64,23,0,0.65,1,36.3
12.11,10.1,1,19,4,1.43,0.93,367,1,0.54,1,18.1
9.82,14.3,2,21,2,0.69,0.66,720,0,0.12,0,0
12.87,11.0,1,13,6,0.66,0.02,37,0,0.91,1,18.0
21.25,7.6,1,7,0,0.7,0.84,363,0,0.49,0,0
19.04,4.5,2,18,4,1.35,0.07,360,1,0.38,1,34.2
8.8,3.7,1,10,2,2.07,0.73,363,1,0.17,0,0
19.68,5.0,1,18,5,1.72,0.63,359,1,0.51,1,33.9
17.07,10.4,2,20,3,1.25,0.38,32,1,0.88,1,33.4
19.04,1.3,1,7,4,0.98,0.9,735,0,0.19,0,0
18.52,12.9,2,21,3,0.87,0.45,368,0,0.71,0,0
21.08,3.2,1,13,2,0.89,0.34,83,0,0.61,1,37.6
12.56,14.3,1,9,0,0.99,0.79,373,1,0.82,1,24.9
17.07,10.3,0,12,0,0.79,0.32,87,0,0.58,1,42.9
21.92,7.2,1,7,4,0.86,0.69,96,0,0.63,1,27.9
16.28,12.8,2,15,4,0.7,0.78,24,0,0.13,1,21.1
13.22,11.8,2,3,2,0.8,0.7,364,0,0.37,0,0
33.07,8.3,2,13,4,0.95,0.28,24,0,0.79,1,38.9
10.86,12.2,1,20,3,1.21,0.79,190,1,0.92,0,0
7.56,3.6,1,17,2,1.52,0.63,32,1,0.26,0,0
9.61,8.5,0,9,1,1.5,0.07,734,1,0.41,0,0
12.87,7.5,2,15,4,0.83,0.85,177,0,0.82,1,22.5
26.1,5.9,1,8,1,1.95,0.17,180,1,0.43,1,56.9
23.49,10.0,1,18,1,1.36,0.31,177,1,0.67,1,36.5
8.87,10.4,0,17,4,1.26,0.96,728,1,0.75,1,25.9
17.07,6.5,0,12,5,1.01,0.86,23,0,0.56,1,42.0
18.11,6.7,1,20,1,1.49,0.8,32,1,0.46,1,38.5
12.83,1.5,0,8,0,1.62,0.24,93,1,0.74,1,13.4
15.28,10.0,2,11,5,0.82,0.62,178,0,0.3,1,27.6
7.56,12.6,2,13,6,0.46,0.71,375,0,0.71,0,0
9.61,3.4,1,10,5,1.55,0.85,84,1,0.22,1,34.8
7.8,3.0,2,16,5,0.74,0.35,359,0,0.36,0,0
26.62,1.6,2,6,4,0.77,0.89,92,0,0.85,1,31.5
7.34,9.9,2,9,2,1.49,0.06,190,1,0.83,1,27.9
6.13,5.2,1,6,1,0.52,0.55,189,0,0.11,0,0
19.2,1.0,1,18,6,1.35,0.95,356,1,0.5,1,15.7
17.54,6.2,1,4,5,0.76,0.1,171,0,0.71,0,0
11.82,11.8,2,21,6,0.84,0.93,735,0,0.8,0,0
19.05,11.9,0,10,6,1.42,0.56,364,1,0.84,1,40.0
18.52,5.0,2,5,4,0.88,0.31,361,0,0.92,0,0
25.63,7.0,0,16,4,0.91,0.08,25,0,0.3,1,38.7
10.31,2.4,1,18,2,1.49,0.6,359,1,0.39,0,0
31.39,14.7,1,6,5,0.48,0.9,375,0,0.62,1,30.1
19.05,10.5,1,17,1,1.06,0.74,188,1,0.17,1,29.0
18.52,9.4,1,16,5,0.74,0.09,189,0,0.24,0,0
20.14,5.0,0,8,2,1.66,0.62,170,1,0.3,1,30.0
19.05,8.9,1,8,4,1.34,0.14,182,1,0.64,1,27.4
38.67,1.3,1,13,5,0.92,0.42,175,0,0.95,1,29.9
8.43,10.3,1,9,1,1.7,0.54,728,1,0.88,0,0
23.72,12.9,2,9,3,1.62,0.1,182,1,0.67,1,33.1
9.71,7.0,0,10,5,1.54,0.34,83,1,0.85,1,33.5
7.13,2.8,0,5,1,0.46,0.06,187,0,0.96,0,0
19.8,12.0,1,2,0,0.76,0.38,373,0,0.5,0,0
23.49,3.6,0,19,5,0.95,0.68,356,1,0.44,1,21.3
13.22,11.3,2,2,6,0.59,0.56,31,0,0.57,1,10.9
7.34,7.9,0,8,3,1.21,0.65,30,1,0.41,1,40.0
13.35,14.2,2,15,0,0.86,0.72,94,0,0.82,0,0
20.5,13.3,1,19,4,1.39,0.12,359,1,0.42,0,0
17.49,8.8,1,17,6,1.35,0.24,372,1,0.5,1,15.6
35.18,10.5,1,14,3,0.76,0.69,181,0,0.8,1,54.0
25.63,1.4,2,19,2,1.62,0.58,80,1,0.31,1,42.4
16.08,1.9,1,8,5,1.27,0.93,30,1,0.33,1,30.5
15.98,8.9,1,16,4,0.48,0.26,175,0,0.19,0,0
6.73,10.1,1,19,3,1.5,0.83,189,1,0.9,0,0
8.8,11.4,0,14,5,0.77,0.02,726,0,0.53,0,0
6.13,0.8,1,17,6,2.12,0.07,726,1,0.75,1,11.7
14.33,3.0,2,12,0,0.89,0.23,371,0,0.42,1,12.5
2.96,8.5,2,12,2,0.75,0.12,82,0,0.9,0,0
22.5,8.8,1,14,1,0.7,0.29,181,0,0.58,1,36.5
22.5,2.5,2,7,4,0.74,0.09,28,0,0.37,1,33.8
9.61,12.8,0,11,2,1.01,0.53,370,0,0.67,0,0
18.84,8.9,2,16,5,0.76,0.5,80,0,0.98,1,18.2
23.56,8.5,0,7,3,0.65,0.22,26,0,0.27,1,39.9
9.82,5.6,0,11,5,1.02,0.62,189,0,0.46,1,29.0
13.52,12.8,0,16,0,0.63,0.6,721,0,0.99,0,0
7.51,11.6,0,9,0,1.87,0.43,31,1,0.12,1,16.1
5.39,9.9,1,18,1,1.6,0.84,187,1,0.33,0,0
12.83,12.6,0,19,2,1.6,0.7,99,1,0.74,1,30.4
9.16,7.2,2,15,4,0.82,0.34,367,0,0.31,0,0
14.05,3.8,1,8,5,1.52,0.67,362,1,0.84,0,0
25.34,11.5,2,6,5,0.72,0.33,28,0,0.98,1,56.2
28.39,1.4,0,21,5,0.78,0.69,81,0,0.68,1,65.6
19.04,9.4,1,3,6,0.5,0.14,82,0,0.86,1,40.4
18.52,2.9,0,10,6,1.36,0.94,180,1,0.1,1,40.1
7.56,3.1,1,8,1,2.38,0.81,32,1,0.16,1,28.1
13.65,1.8,1,14,1,0.94,0.16,21,0,0.32,1,27.5
23.56,12.5,0,17,1,0.69,0.3,720,1,0.61,1,32.6
6.13,9.1,0,19,5,1.86,0.24,727,1,0.18,0,0
22.5,10.7,1,17,3,1.23,0.47,357,1,0.84,1,25.9
3.46,11.6,1,18,0,1.58,0.78,23,1,0.99,1,30.8
15.01,8.0,0,19,4,1.35,0.13,92,1,0.24,1,28.8
10.9,8.5,1,21,2,0.48,0.41,375,0,0.35,0,0
9.16,8.6,1,2,0,0.82,0.56,85,0,0.21,0,0
2.96,7.8,0,17,0,1.32,0.3,173,1,0.76,0,0
21.92,9.0,1,13,2,0.58,0.24,87,0,0.85,1,52.2
16.52,8.6,1,20,2,1.2,0.85,720,1,0.15,0,0
11.82,8.9,1,14,3,0.83,0.04,730,0,0.79,0,0
7.8,6.4,0,11,1,0.82,0.57,727,0,0.12,0,0
21.31,12.1,0,20,5,1.38,0.46,365,1,0.37,1,26.5
8.43,5.6,1,15,5,0.79,0.3,84,0,0.75,1,27.1
7.56,12.3,1,14,1,0.77,0.9,176,0,0.65,0,0
